followers_count,following_count,tweet_like_count,tweet_retweet_count,tweet_reply_count
1251,4105,0,0,1
2903,3143,3,0,0
298,479,7,1,1
1075,2736,0,0,0
232,394,1,0,1
780,580,4,0,0
1344,2113,1,0,0
828,1457,1,0,0
60,614,0,0,0
74,513,0,0,0
9481,2920,41,12,1
180,197,0,0,0
143,114,0,0,0
3,16,0,0,0
11,70,0,0,0
371,425,0,0,1
60,558,1,0,0
9,52,0,0,0
1102,1674,3,0,0
122,1242,1,0,0
142,405,2,0,0
2224,2156,1,1,0
65,278,0,0,0
182,1689,0,0,0
222,38,0,0,0
11,117,1,0,0
10004,215,3,0,0
769,1490,1,0,0
0,3,0,0,0
30,66,0,0,0
2,22,0,0,0
249,874,0,0,0
7425,6075,15,0,2
15,56,0,0,0
162,162,0,0,0
1053,1209,0,0,0
39,12,1,0,0
151,150,8,0,1
3161,3513,2,0,0
351,276,1,0,0
1392,392,1,0,1
1673,454,14,2,0
596,1011,0,0,0
619,927,1,0,0
140,572,0,0,0
9060,9744,6,0,0
3,22,0,0,0
1216,1177,0,0,1
4771,457,57,4,2
10647,9853,1,0,1
14,57,0,0,0
81336,51848,15,6,1
4714,453,2,1,0
1540,731,48,5,2
2375,2139,1,0,1
282,786,0,0,0
315,1099,2,0,0
597,719,0,0,0
485,1655,0,0,0
2142,2428,5,0,0
5170,5251,1,0,2
416,1123,0,0,0
398,227,1,0,0
1860,298,1,0,1
284,165,0,0,0
3,60,0,0,0
96,404,0,0,0
13,64,0,0,0
13,72,1,0,0
285902,1671,6,3,6
126,141,0,0,0
3352,527,2,0,0
117,269,0,0,0
457,315,7,1,0
2,92,2,0,0
1,31,3,0,0
4362,3050,0,0,0
1549,746,17,0,1
1524,2110,6,0,1
267,687,0,0,0
17,117,0,0,0
431,400,5,0,0
657,1744,5,0,1
303,173,6,0,2
492,863,2,0,0
1183,1923,0,0,0
692766,157,14,2,9
34,125,0,0,2
302,727,0,0,0
224,519,7,0,0
166567,757,18,3,1
1493,488,0,0,0
75,119,0,0,1
484,1907,0,0,0
278,1030,0,0,0
89,753,1,1,1
89,753,1,1,1
89,753,1,1,1
1023,164,14,4,1
3600,1545,36,0,3
2994,4970,1,0,0
0,10,0,0,0
109,284,8,2,0
13,72,1,0,1
18,142,1,0,0
16,115,3,0,0
4628,1093,11,0,1
2300,252,21,2,0
549,504,3,0,0
56,105,0,0,0
575,565,1,1,0
3,28,1,0,0
8802,3452,46,5,1
188,144,1,0,0
102,160,1,0,1
828,782,0,0,0
15,37,2,1,0
43,85,1,0,0
12526,1530,5,0,0
152,142,0,0,0
480,1171,2,0,1
4946,5439,0,0,0
16,34,0,0,0
232,3,0,0,0
80,446,4,0,2
909,1881,0,0,1
38,91,24,0,1
20,340,0,0,0
451,2069,0,0,0
87,461,7,0,1
305,1582,0,0,0
162,786,30,2,0
320,672,1,0,0
710,1022,2,0,0
230,850,0,0,1
860,1043,2,0,0
488,911,0,0,0
118,232,0,0,0
426,286,0,0,1
1127,1925,6,0,0
10,9,2,0,3
1675,874,0,0,1
5,29,1,0,0
2726,3620,1,0,1
139,615,2,0,0
37,197,1,0,0
516,458,0,1,0
2515,2253,1,0,0
534,933,0,0,0
707,320,6,0,0
1458,824,2,0,0
555,815,1,0,0
81,203,5,0,1
12,56,0,0,0
197,338,0,0,0
627,598,1,0,0
167,345,0,0,0
250,570,0,0,2
2102,532,1,0,1
2,139,9,0,1
14,77,0,0,1
30,125,0,0,0
5071,4721,13,0,1
1029,929,18,1,2
300,700,0,0,2
1067,2529,1,0,0
162,141,1,0,0
0,3,0,0,0
4031,4263,4,0,0
133,284,3,0,1
287,765,1,0,1
1892,4230,2,0,0
6,11,1,0,0
34,284,0,0,1
14,309,0,0,1
698,1094,2,0,1
44,222,0,0,1
933,2459,0,0,1
22,226,0,0,0
4870,3120,8,0,1
1082,494,0,0,0
2,61,0,0,0
305,1582,1,0,1
3893,727,4,0,0
297,98,0,0,0
100,70,3,0,1
8741,165,18,2,3
34,284,0,0,1
1096,2186,81,2,9
103,146,0,0,0
235,1334,0,0,1
9,37,0,0,0
78,339,2,0,0
93,322,1,0,0
2717,3263,0,0,0
586,294,5,4,0
613,909,4,0,4
344,21,1,0,2
381,972,17,0,1
4072,2296,2,0,0
1105,2340,0,0,1
437,552,1,0,1
108,161,0,0,0
34,284,0,0,1
6343,1398,15,1,1
2993,2443,14,2,2
82,177,0,0,0
48,267,6,0,1
7,181,0,0,0
156,206,6,1,1
154,50,4,0,1
1593,1636,0,0,1
146,190,0,0,0
43,175,1,0,0
1414,1439,2,0,0
175,588,0,0,0
907,2133,0,0,0
98,530,1,0,0
2483,3322,0,0,1
128,781,101,2,3
2032,600,0,0,1
341,755,1,0,0
12,55,2,0,0
219,4690,2,0,0
2382,4929,1,0,2
13,22,0,0,0
493556,23,22,6,1
48564,729,0,0,0
978,461,0,0,0
3425,4210,15,7,1
495,2121,0,0,0
14,72,0,0,0
65,993,0,0,1
13,76,1,0,0
845,1423,0,0,0
93,390,0,0,0
557,600,2,0,0
254,578,5,1,0
6673,1300,10,0,1
3180,3418,6205,858,25
78,99,0,0,0
1103,700,1,0,0
164,767,0,0,0
909,1881,0,0,3
162,649,7,0,0
661,641,8,0,0
22,184,1,0,1
685,880,0,0,0
243,442,1,0,0
281,934,0,0,0
17,10,0,0,0
167,353,0,0,0
95,346,0,0,0
68,664,0,0,0
